probe,p_val,t_stat,p_adj
1558686_at,0.12903617341355433,1.527675899427094,0.15126675459123406
1566764_at,0.12957277905337206,-1.5277294993014618,0.15177959045961179
209016_s_at,0.1299474446354857,1.5290905670879915,0.1521020930710463
220065_at,0.13187781421800446,-1.5162170797607721,0.15424364672862095
206785_s_at,0.13507167748227103,1.505712671634537,0.1578585787979824
214455_at,0.135324405413914,1.504869938015967,0.15803330639870505
204273_at,0.13652567050411527,1.4982999504342835,0.15931463532149426
229963_at,0.13781774852274925,-1.4932312723294197,0.16069990326605416
238755_at,0.13826509348287577,1.4933104506044452,0.16109882657707977
223646_s_at,0.140805649809225,-1.4826700809636213,0.1639341824014627
204748_at,0.14814784954995996,1.4553590548202149,0.17235133560865404
205778_at,0.1511783260721671,1.4462440591041295,0.17574336918488068
206502_s_at,0.15590456889350218,-1.4271805064367094,0.18110007206066148
206336_at,0.15856616880922564,1.4200465291812037,0.1840521640992604
204885_s_at,0.16012141244928754,1.413212717558892,0.1857165776211055
242787_at,0.1614600503361921,-1.408681030160732,0.18712743154028014
230319_at,0.16342614908361888,-1.401495116825835,0.1892628095665813
230135_at,0.16399426987726035,1.4000315606968297,0.1897771936372529
228988_at,0.16541418593350693,1.3948179928076043,0.1912757693838362
203698_s_at,0.16719853552084427,-1.3889680498990686,0.1931931757603114
1559827_at,0.16747860016538335,-1.3886767173373822,0.19337084227239962
244631_at,0.16897933791634356,-1.3830683033577786,0.19495656846263903
230650_at,0.1725645803414422,-1.3715666105387805,0.1989430515833946
216992_s_at,0.1756158136029949,-1.3620852286607286,0.2023083601400942
242871_at,0.17611186687372174,-1.3601478027095957,0.20272726931102855
210163_at,0.17779107680849257,1.3559739570547575,0.20450649030338253
231152_at,0.17813458604973387,-1.3539290891132663,0.20474778621782475
